FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),TIME_PERIOD,Observation
A,Annual,IT,Italy,HOUS_DIFF_TRANS_V,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much,HSC_F,Per 100 households with the same characteristics,2012,9.9
A,Annual,IT,Italy,HOUS_DIFF_TRANS_V,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much,HSC_F,Per 100 households with the same characteristics,2013,10.5
A,Annual,IT,Italy,HOUS_DIFF_TRANS_V,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much,HSC_F,Per 100 households with the same characteristics,2014,10.2
A,Annual,IT,Italy,HOUS_DIFF_TRANS_V,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much,HSC_F,Per 100 households with the same characteristics,2015,11
A,Annual,IT,Italy,HOUS_DIFF_TRANS_V,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much,HSC_F,Per 100 households with the same characteristics,2016,12.7
A,Annual,IT,Italy,HOUS_DIFF_TRANS_V,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much,HSC_F,Per 100 households with the same characteristics,2017,12.4
A,Annual,IT,Italy,HOUS_DIFF_TRANS_V,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much,HSC_F,Per 100 households with the same characteristics,2018,11.5
A,Annual,IT,Italy,HOUS_DIFF_TRANS_V,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much,HSC_F,Per 100 households with the same characteristics,2019,12.4
A,Annual,IT,Italy,HOUS_DIFF_TRANS_V,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much,HSC_F,Per 100 households with the same characteristics,2020,10.3
A,Annual,IT,Italy,HOUS_DIFF_TRANS_V,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much,HSC_F,Per 100 households with the same characteristics,2021,10.7
A,Annual,IT,Italy,HOUS_DIFF_TRANS_V,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much,HSC_F,Per 100 households with the same characteristics,2022,10.4
A,Annual,IT,Italy,HOUS_DIFF_TRANS_V,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much,HSC_F,Per 100 households with the same characteristics,2023,11.8
A,Annual,IT,Italy,HOUS_DIFF_TRANS_V,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much,HSC_F,Per 100 households with the same characteristics,2024,12.5
A,Annual,IT,Italy,HOUS_DIFF_TRANS_VQ,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much and quite,HSC_F,Per 100 households with the same characteristics,2010,29.5
A,Annual,IT,Italy,HOUS_DIFF_TRANS_VQ,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much and quite,HSC_F,Per 100 households with the same characteristics,2011,28.6
A,Annual,IT,Italy,HOUS_DIFF_TRANS_VQ,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much and quite,HSC_F,Per 100 households with the same characteristics,2012,28.8
A,Annual,IT,Italy,HOUS_DIFF_TRANS_VQ,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much and quite,HSC_F,Per 100 households with the same characteristics,2013,31.3
A,Annual,IT,Italy,HOUS_DIFF_TRANS_VQ,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much and quite,HSC_F,Per 100 households with the same characteristics,2014,30.7
A,Annual,IT,Italy,HOUS_DIFF_TRANS_VQ,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much and quite,HSC_F,Per 100 households with the same characteristics,2015,30.5
A,Annual,IT,Italy,HOUS_DIFF_TRANS_VQ,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much and quite,HSC_F,Per 100 households with the same characteristics,2016,32.9
A,Annual,IT,Italy,HOUS_DIFF_TRANS_VQ,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much and quite,HSC_F,Per 100 households with the same characteristics,2017,33.3
A,Annual,IT,Italy,HOUS_DIFF_TRANS_VQ,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much and quite,HSC_F,Per 100 households with the same characteristics,2018,32.4
A,Annual,IT,Italy,HOUS_DIFF_TRANS_VQ,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much and quite,HSC_F,Per 100 households with the same characteristics,2019,33.5
A,Annual,IT,Italy,HOUS_DIFF_TRANS_VQ,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much and quite,HSC_F,Per 100 households with the same characteristics,2020,30.2
A,Annual,IT,Italy,HOUS_DIFF_TRANS_VQ,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much and quite,HSC_F,Per 100 households with the same characteristics,2021,30.6
A,Annual,IT,Italy,HOUS_DIFF_TRANS_VQ,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much and quite,HSC_F,Per 100 households with the same characteristics,2022,30.7
A,Annual,IT,Italy,HOUS_DIFF_TRANS_VQ,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much and quite,HSC_F,Per 100 households with the same characteristics,2023,32.7
A,Annual,IT,Italy,HOUS_DIFF_TRANS_VQ,Households declaring to live in an area where some problems are present: difficulties of links with public transport means: very much and quite,HSC_F,Per 100 households with the same characteristics,2024,34.5
A,Annual,IT,Italy,HOUS_TRAFFIC_V,Households declaring to live in an area where some problems are present: traffic: very much,HSC_F,Per 100 households with the same characteristics,2010,15.2
A,Annual,IT,Italy,HOUS_TRAFFIC_V,Households declaring to live in an area where some problems are present: traffic: very much,HSC_F,Per 100 households with the same characteristics,2011,14.4
