quote_date,item_id,coicop_weight,dup
199602,210101,2.75,0
199603,210101,2.75,0
199604,210101,2.75,0
199605,210101,2.75,0
199606,210101,2.75,0
199607,210101,2.75,0
199608,210101,2.75,0
199609,210101,2.75,0
199610,210101,2.75,0
199611,210101,2.75,0
199612,210101,2.75,0
199701,210101,2.75,0
199702,210101,3,0
199703,210101,3,0
199704,210101,3,0
199705,210101,3,0
199706,210101,3,0
199707,210101,3,0
199708,210101,3,0
199709,210101,3,0
199710,210101,3,0
199711,210101,3,0
199712,210101,3,0
199801,210101,3,0
199802,210101,2.0699999,0
199803,210101,2.0699999,0
199804,210101,2.0699999,0
199805,210101,2.0699999,0
199806,210101,2.0699999,0
199807,210101,2.0699999,0
199808,210101,2.0699999,0
199809,210101,2.0699999,0
199810,210101,2.0699999,0
199811,210101,2.0699999,0
199812,210101,2.0699999,0
199901,210101,2.0699999,0
199902,210101,2.53,0
199903,210101,2.53,0
199904,210101,2.53,0
199905,210101,2.53,0
199906,210101,2.53,0
199907,210101,2.53,0
199908,210101,2.53,0
199909,210101,2.53,0
199910,210101,2.53,0
199911,210101,2.53,0
199912,210101,2.53,0
200001,210101,2.0899999,0
200002,210101,1.9,0
200003,210101,1.9,0
200004,210101,1.9,0
200005,210101,1.9,0
200006,210101,1.9,0
200007,210101,1.9,0
200008,210101,1.9,0
200009,210101,1.9,0
200010,210101,1.9,0
200011,210101,1.9,0
200012,210101,1.9,0
200101,210101,1.8,0
200102,210101,1.62,0
200103,210101,1.62,0
200104,210101,1.62,0
200105,210101,1.62,0
200106,210101,1.62,0
200107,210101,1.62,0
200108,210101,1.62,0
200109,210101,1.62,0
200110,210101,1.62,0
200111,210101,1.62,0
200112,210101,1.62,0
200201,210101,1.4400001,0
200202,210101,1.4400001,0
200203,210101,1.4400001,0
200204,210101,1.4400001,0
200205,210101,1.4400001,0
200206,210101,1.4400001,0
200207,210101,1.4400001,0
200208,210101,1.4400001,0
200209,210101,1.4400001,0
200210,210101,1.4400001,0
200211,210101,1.4400001,0
200212,210101,1.4400001,0
200301,210101,1.4400001,0
200302,210101,1.28,0
200303,210101,1.28,0
200304,210101,1.28,0
200305,210101,1.28,0
200306,210101,1.28,0
200307,210101,1.28,0
200308,210101,1.28,0
200309,210101,1.28,0
200310,210101,1.28,0
200311,210101,1.28,0
200312,210101,1.28,0
200401,210101,1.28,0
199602,210102,1,0
199603,210102,1,0
199604,210102,1,0
199605,210102,1,0
