FREQ,Frequency,REF_AREA,Territory,DATA_TYPE_AGGR,Aggregate,EXPEND_PURPOSE_COICOPCOFOG,Expenditure by purpose,VALUATION,Valuation (DESC),ADJUSTMENT,Adjustment (DESC),EDITION,Edition (DESC),TIME_PERIOD,Observation
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2013,25957.9
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2014,25162.4
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2015,25784.8
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2016,26392.6
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2017,26694.8
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2018,26500.6
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2019,26932.9
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2020,27117
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2021,28420.6
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2022,29369.9
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2023,29656.8
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G070,Health,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2010,121694.2
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G070,Health,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2011,119671.1
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G070,Health,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2012,116857.6
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G070,Health,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2013,115452.4
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G070,Health,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2014,117038.3
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G070,Health,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2015,117708.7
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G070,Health,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2016,117438.1
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G070,Health,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2017,117275.9
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G070,Health,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2018,117177.9
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G070,Health,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2019,117787.6
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G070,Health,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2020,121812
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G070,Health,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2021,126290.6
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G070,Health,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2022,125187.2
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G070,Health,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2023,124915.8
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G090,Education,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2010,69433.8
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G090,Education,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2011,65829.7
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G090,Education,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2012,64752
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G090,Education,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2013,64489.4
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G090,Education,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2014,64417.9
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G090,Education,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2015,64111.2
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G090,Education,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2016,63890.6
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G090,Education,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2017,64798.7
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G090,Education,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2018,65443.2
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G090,Education,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2019,65499.3
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G090,Education,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2020,63158
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G090,Education,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2021,66334.1
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G090,Education,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2022,66187.9
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G090,Education,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2023,67739.1
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G100,Social protection,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2010,18745.5
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G100,Social protection,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2011,17482.5
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G100,Social protection,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2012,17172.5
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G100,Social protection,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2013,16793.2
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G100,Social protection,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2014,16330.1
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G100,Social protection,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2015,16399.4
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G100,Social protection,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2016,16601.6
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G100,Social protection,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2017,16525.8
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G100,Social protection,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2018,16383.1
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G100,Social protection,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2019,15690
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G100,Social protection,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2020,15234
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G100,Social protection,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2021,15893.4
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G100,Social protection,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2022,18561.4
