FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,ACCIDENT_LOCALIZATON,Localization of the accident,INTERSECTION,Intersection (DESC),TY_ROAD_ACCIDENT,Road accident type,RESULT,Result (DESC),PERSON_CLASS,Person class,AGE,Age (DESC),SEX,Sex (DESC),MONTH,Month (DESC),TIME_PERIOD,Observation
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2011,61
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2012,41
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2013,39
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2014,52
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2015,34
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2016,51
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2017,50
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2018,49
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2019,38
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2020,29
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2021,29
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2022,40
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2023,26
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2024,32
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,9,Total,TOTAL,Total,9,Total,99,Total,2010,327
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,9,Total,TOTAL,Total,9,Total,99,Total,2011,320
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,9,Total,TOTAL,Total,9,Total,99,Total,2012,286
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,9,Total,TOTAL,Total,9,Total,99,Total,2013,259
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,9,Total,TOTAL,Total,9,Total,99,Total,2014,265
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,9,Total,TOTAL,Total,9,Total,99,Total,2015,246
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,9,Total,TOTAL,Total,9,Total,99,Total,2016,247
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,9,Total,TOTAL,Total,9,Total,99,Total,2017,279
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,9,Total,TOTAL,Total,9,Total,99,Total,2018,251
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,9,Total,TOTAL,Total,9,Total,99,Total,2019,232
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,9,Total,TOTAL,Total,9,Total,99,Total,2020,182
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,9,Total,TOTAL,Total,9,Total,99,Total,2021,192
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,9,Total,TOTAL,Total,9,Total,99,Total,2022,241
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,9,Total,TOTAL,Total,9,Total,99,Total,2023,178
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,9,Total,TOTAL,Total,9,Total,99,Total,2024,171
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,C,Driver,TOTAL,Total,9,Total,99,Total,2010,12998
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,C,Driver,TOTAL,Total,9,Total,99,Total,2011,12727
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,C,Driver,TOTAL,Total,9,Total,99,Total,2012,11538
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,C,Driver,TOTAL,Total,9,Total,99,Total,2013,10610
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,C,Driver,TOTAL,Total,9,Total,99,Total,2014,10715
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,C,Driver,TOTAL,Total,9,Total,99,Total,2015,10544
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,C,Driver,TOTAL,Total,9,Total,99,Total,2016,10429
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,C,Driver,TOTAL,Total,9,Total,99,Total,2017,10343
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,C,Driver,TOTAL,Total,9,Total,99,Total,2018,10299
