term,coef,stderr,pval
const,1771.5341451718195,415.62808692647826,2.0232800356293635e-05
Parking difficulty (very),0.7508649647295158,1.60292867285645,0.6394748497696612
Poor public transport (very),-0.7599427771375762,1.3725168489272785,0.5797940508389128
Poor road conditions (very),-2.3562953553319286,1.0218430762100152,0.02111472172752062
Poor street lighting (very),2.311894951076482,1.9990420245692964,0.2474761168259575
Traffic problems (very),2.5116086056471714,1.7388020146685037,0.14861307565410173
Commute under 15 min (share),-1.8809018301641824,0.6928647018909486,0.006634102861261329
Commute 31+ min (share),0.6776759232448804,1.482054451960008,0.647488199447898
Commute by bicycle (share),0.8226174555291266,2.482328172624385,0.7403503061341161
Commute by tram or city bus (share),-1.4739372558536736,2.301292470773851,0.5218590472002675
Commute by bus company/charter (share),-2.6626218731335136,5.02900923003179,0.5964915368398427
Commute by coach (share),-4.577189496982989,2.5327234387930835,0.07072791950235816
Commute on foot (share),-0.6469302502561796,1.6978576710204702,0.7031829362479038
Commute by metro (share),-6.218425077696409,7.19851999311354,0.3876715498522084
Commute by motorcycle or moped (share),4.627931966292882,2.20440531479515,0.03578151692046119
Commute as car driver (share),-0.0662918984746943,1.1878276875171958,0.955493681421187
Commute as car passenger (share),1.8426369066930934,2.3245082377839146,0.42795282420776004
Commute by train (share),-0.48970734400334237,3.8243692021191125,0.8981100525856125
Buses or trolley-buses per capita (vehicles),-28083.85293401542,32523.453237057685,0.3878651361369234
Motor cars per capita (vehicles),338.237649252149,68.83280616751345,8.928148683924431e-07
Motor units per capita (vehicles),-21789.535719189276,32455.851606031294,0.5019917072650388
Motorcycles per capita (vehicles),-1837.6869810669723,920.1278584575826,0.04580256155988395
Other vehicles per capita (vehicles),421701.4296252355,2108459.840047313,0.841477071551452
Three-wheelers or motor-vans per capita (vehicles),8426.336351363334,6034.299155488605,0.16259202967518216
Trailers per capita (vehicles),26977.778838437865,19202.663498938044,0.16005168428855154
Trucks per capita (vehicles),-235.80496054623336,218.6483719380386,0.28082559107878013
GDP per capita (EUR),0.012852188925143768,0.005883457360503452,0.028928317994771118
Alcohol/tobacco spend per capita (EUR),-0.22373949767528845,0.17092561840625847,0.1905385854716548
Gov. exp. public order per capita (EUR),-1.5465742872269765,0.7605949227329729,0.04201470603984627
Gov. exp. economic affairs per capita (EUR),-0.06084025033109092,0.21754329860541258,0.7797309929694288
Gov. exp. health per capita (EUR),0.038541475968726674,0.0320649151843043,0.22937019897362365
Gov. exp. education per capita (EUR),-0.2962263883593285,0.13354586857517178,0.026543779786341204
Gov. exp. social protection per capita (EUR),-0.330195384636939,0.12651520633601018,0.009056168859702507
T_2010,170.4671786277855,31.558941909043387,6.606779858990359e-08
T_2011,132.8792314388946,21.42825573548914,5.606197640927777e-10
T_2012,43.76620280438959,26.08551674648422,0.0933867272551247
T_2013,43.890420405813245,20.30128934061562,0.03062184844727306
T_2014,1.8099760021690088,22.9724904639855,0.9372005764583109
T_2015,4.839833906764284,16.864539363322542,0.7741254366057747
T_2016,-0.21606580595266678,17.864470267944803,0.9903500431233979
T_2017,-1.4511022391451576,12.799262550109946,0.9097341355998054
T_2018,4.034780635051618,8.149613818694753,0.620537603130829
T_2020,-194.50476837014946,21.95119963180726,7.945595596875855e-19
T_2021,-79.4931108014076,19.04546825273549,2.994823354125525e-05
T_2022,-22.222493841243107,24.862292329332437,0.37141649084931294
T_2023,10.448469846381073,28.846937631629118,0.7171997551742944
R_Abruzzo,-240.2979351439186,72.79343284951737,0.0009630874804097833
R_Basilicata,-367.18890559525084,129.5869673265451,0.004603660187028685
R_Calabria,-372.73536456949455,229.1094266222308,0.10376089844245151
R_Campania,-359.64803632373946,90.69004797132614,7.318589074299268e-05
R_Emilia-Romagna,-145.42341176582,91.42932834698496,0.11170966885544358
R_Friuli-Venezia Giulia,-247.52868721643745,84.9380314274884,0.0035657075764407987
R_Liguria,507.5814857151877,156.46444272543673,0.001178350986541988
R_Lombardia,-316.1548751111958,64.17748792471777,8.381922979347159e-07
R_Marche,11.909204279056269,64.54684241287875,0.8536174372873657
R_Molise,-360.42160036677865,129.45254975893445,0.005366017625093053
R_Piemonte,-300.43478299090225,65.89426091438372,5.131299103792365e-06
R_Puglia,-216.68768499499038,94.80226056091459,0.022272952746485723
R_Sardegna,-338.91069438914246,130.98338446204033,0.009669407758181307
R_Sicilia,-176.9587217023095,79.52691317100823,0.026071667273370354
R_Toscana,76.02440866740645,90.4198715599911,0.4004638250680195
R_Trentino Alto Adige / Südtirol,-135.54922064319726,144.2820141168731,0.34748736506316724
R_Umbria,-259.7013941962423,85.73624965964338,0.0024530506722843302
R_Valle d'Aosta / Vallée d'Aoste,-367.7866654373172,416.5494301319252,0.37727062088568397
R_Veneto,-408.72680934160917,97.92994988665164,2.9973833216862804e-05
