Data values,Data description,Area code,Area name,Indicator,Notes
,Rate per 100,W01000075,Hendre (Bangor),Police recorded burglary per residential dwelling,Confidential
0.46,Rate per 100,W01000075,Hendre (Bangor),Fire incidents per at-risk population,
0.62,Rate per 100,W01000076,Garth,Police recorded violence with injury per at-risk population,
0.99,Rate per 100,W01000076,Garth,Police recorded public order offences per at-risk population,
0.64,Rate per 100,W01000076,Garth,Police recorded criminal damage per at-risk population,
0.82,Rate per 100,W01000076,Garth,Police recorded violence without injury per at-risk population,
0.61,Rate per 100,W01000076,Garth,Police recorded stalking and harassment per at-risk population,
1.23,Rate per 100,W01000076,Garth,Police recorded antisocial behaviour per at-risk population,
1.11,Rate per 100,W01000076,Garth,Police recorded theft per at-risk population,
1.24,Rate per 100,W01000076,Garth,Police recorded burglary per residential dwelling,
0.27,Rate per 100,W01000076,Garth,Fire incidents per at-risk population,
1.3,Rate per 100,W01000077,Hirael,Police recorded violence with injury per at-risk population,
1.16,Rate per 100,W01000077,Hirael,Police recorded public order offences per at-risk population,
1.77,Rate per 100,W01000077,Hirael,Police recorded criminal damage per at-risk population,
1.81,Rate per 100,W01000077,Hirael,Police recorded violence without injury per at-risk population,
1.34,Rate per 100,W01000077,Hirael,Police recorded stalking and harassment per at-risk population,
3.12,Rate per 100,W01000077,Hirael,Police recorded antisocial behaviour per at-risk population,
1.15,Rate per 100,W01000077,Hirael,Police recorded theft per at-risk population,
1.09,Rate per 100,W01000077,Hirael,Police recorded burglary per residential dwelling,
0.58,Rate per 100,W01000077,Hirael,Fire incidents per at-risk population,
0.45,Rate per 100,W01000078,Yr Eifl,Police recorded violence with injury per at-risk population,
1.13,Rate per 100,W01000078,Yr Eifl,Police recorded public order offences per at-risk population,
0.81,Rate per 100,W01000078,Yr Eifl,Police recorded criminal damage per at-risk population,
1.03,Rate per 100,W01000078,Yr Eifl,Police recorded violence without injury per at-risk population,
1.95,Rate per 100,W01000078,Yr Eifl,Police recorded stalking and harassment per at-risk population,
2.1,Rate per 100,W01000078,Yr Eifl,Police recorded antisocial behaviour per at-risk population,
0.47,Rate per 100,W01000078,Yr Eifl,Police recorded theft per at-risk population,
,Rate per 100,W01000078,Yr Eifl,Police recorded burglary per residential dwelling,Confidential
0.38,Rate per 100,W01000078,Yr Eifl,Fire incidents per at-risk population,
0.51,Rate per 100,W01000080,Abersoch a Llanbedrog,Police recorded violence with injury per at-risk population,
0.44,Rate per 100,W01000080,Abersoch a Llanbedrog,Police recorded public order offences per at-risk population,
0.61,Rate per 100,W01000080,Abersoch a Llanbedrog,Police recorded criminal damage per at-risk population,
0.77,Rate per 100,W01000080,Abersoch a Llanbedrog,Police recorded violence without injury per at-risk population,
0.49,Rate per 100,W01000080,Abersoch a Llanbedrog,Police recorded stalking and harassment per at-risk population,
1.67,Rate per 100,W01000080,Abersoch a Llanbedrog,Police recorded antisocial behaviour per at-risk population,
0.6,Rate per 100,W01000080,Abersoch a Llanbedrog,Police recorded theft per at-risk population,
0.41,Rate per 100,W01000080,Abersoch a Llanbedrog,Police recorded burglary per residential dwelling,
0.4,Rate per 100,W01000080,Abersoch a Llanbedrog,Fire incidents per at-risk population,
0.61,Rate per 100,W01000081,Llanberis,Police recorded violence with injury per at-risk population,
0.63,Rate per 100,W01000081,Llanberis,Police recorded public order offences per at-risk population,
0.75,Rate per 100,W01000081,Llanberis,Police recorded criminal damage per at-risk population,
0.77,Rate per 100,W01000081,Llanberis,Police recorded violence without injury per at-risk population,
0.65,Rate per 100,W01000081,Llanberis,Police recorded stalking and harassment per at-risk population,
1.3,Rate per 100,W01000081,Llanberis,Police recorded antisocial behaviour per at-risk population,
0.51,Rate per 100,W01000081,Llanberis,Police recorded theft per at-risk population,
,Rate per 100,W01000081,Llanberis,Police recorded burglary per residential dwelling,Confidential
0.37,Rate per 100,W01000081,Llanberis,Fire incidents per at-risk population,
,Rate per 100,W01000082,Llandderfel a Llanfor,Police recorded violence with injury per at-risk population,Confidential
,Rate per 100,W01000082,Llandderfel a Llanfor,Police recorded public order offences per at-risk population,Confidential
,Rate per 100,W01000082,Llandderfel a Llanfor,Police recorded criminal damage per at-risk population,Confidential
0.48,Rate per 100,W01000082,Llandderfel a Llanfor,Police recorded violence without injury per at-risk population,
,Rate per 100,W01000082,Llandderfel a Llanfor,Police recorded stalking and harassment per at-risk population,Confidential
,Rate per 100,W01000082,Llandderfel a Llanfor,Police recorded antisocial behaviour per at-risk population,Confidential
0.57,Rate per 100,W01000082,Llandderfel a Llanfor,Police recorded theft per at-risk population,
,Rate per 100,W01000082,Llandderfel a Llanfor,Police recorded burglary per residential dwelling,Confidential
0.51,Rate per 100,W01000082,Llandderfel a Llanfor,Fire incidents per at-risk population,
0.43,Rate per 100,W01000083,Llanuwchllyn a Llanycil,Police recorded violence with injury per at-risk population,
,Rate per 100,W01000083,Llanuwchllyn a Llanycil,Police recorded public order offences per at-risk population,Confidential
0.49,Rate per 100,W01000083,Llanuwchllyn a Llanycil,Police recorded criminal damage per at-risk population,
0.66,Rate per 100,W01000083,Llanuwchllyn a Llanycil,Police recorded violence without injury per at-risk population,
,Rate per 100,W01000083,Llanuwchllyn a Llanycil,Police recorded stalking and harassment per at-risk population,Confidential
0.79,Rate per 100,W01000083,Llanuwchllyn a Llanycil,Police recorded antisocial behaviour per at-risk population,
0.48,Rate per 100,W01000083,Llanuwchllyn a Llanycil,Police recorded theft per at-risk population,
,Rate per 100,W01000083,Llanuwchllyn a Llanycil,Police recorded burglary per residential dwelling,Confidential
0.32,Rate per 100,W01000083,Llanuwchllyn a Llanycil,Fire incidents per at-risk population,
,Rate per 100,W01000084,Llanengan a Mynytho,Police recorded violence with injury per at-risk population,Confidential
,Rate per 100,W01000084,Llanengan a Mynytho,Police recorded public order offences per at-risk population,Confidential
0.45,Rate per 100,W01000084,Llanengan a Mynytho,Police recorded criminal damage per at-risk population,
0.61,Rate per 100,W01000084,Llanengan a Mynytho,Police recorded violence without injury per at-risk population,
0.6,Rate per 100,W01000084,Llanengan a Mynytho,Police recorded stalking and harassment per at-risk population,
0.81,Rate per 100,W01000084,Llanengan a Mynytho,Police recorded antisocial behaviour per at-risk population,
0.48,Rate per 100,W01000084,Llanengan a Mynytho,Police recorded theft per at-risk population,
,Rate per 100,W01000084,Llanengan a Mynytho,Police recorded burglary per residential dwelling,Confidential
0.82,Rate per 100,W01000084,Llanengan a Mynytho,Fire incidents per at-risk population,
0.5,Rate per 100,W01000085,"Arthog, Llangelynnin a Llanegryn",Police recorded violence with injury per at-risk population,
0.44,Rate per 100,W01000085,"Arthog, Llangelynnin a Llanegryn",Police recorded public order offences per at-risk population,
0.62,Rate per 100,W01000085,"Arthog, Llangelynnin a Llanegryn",Police recorded criminal damage per at-risk population,
0.69,Rate per 100,W01000085,"Arthog, Llangelynnin a Llanegryn",Police recorded violence without injury per at-risk population,
0.7,Rate per 100,W01000085,"Arthog, Llangelynnin a Llanegryn",Police recorded stalking and harassment per at-risk population,
1.54,Rate per 100,W01000085,"Arthog, Llangelynnin a Llanegryn",Police recorded antisocial behaviour per at-risk population,
0.54,Rate per 100,W01000085,"Arthog, Llangelynnin a Llanegryn",Police recorded theft per at-risk population,
,Rate per 100,W01000085,"Arthog, Llangelynnin a Llanegryn",Police recorded burglary per residential dwelling,Confidential
0.3,Rate per 100,W01000085,"Arthog, Llangelynnin a Llanegryn",Fire incidents per at-risk population,
0.58,Rate per 100,W01000086,Clynnog a Llanllyfni,Police recorded violence with injury per at-risk population,
0.61,Rate per 100,W01000086,Clynnog a Llanllyfni,Police recorded public order offences per at-risk population,
0.66,Rate per 100,W01000086,Clynnog a Llanllyfni,Police recorded criminal damage per at-risk population,
1.04,Rate per 100,W01000086,Clynnog a Llanllyfni,Police recorded violence without injury per at-risk population,
1.7,Rate per 100,W01000086,Clynnog a Llanllyfni,Police recorded stalking and harassment per at-risk population,
2.16,Rate per 100,W01000086,Clynnog a Llanllyfni,Police recorded antisocial behaviour per at-risk population,
0.57,Rate per 100,W01000086,Clynnog a Llanllyfni,Police recorded theft per at-risk population,
,Rate per 100,W01000086,Clynnog a Llanllyfni,Police recorded burglary per residential dwelling,Confidential
0.65,Rate per 100,W01000086,Clynnog a Llanllyfni,Fire incidents per at-risk population,
0.51,Rate per 100,W01000087,Llanrug,Police recorded violence with injury per at-risk population,
0.26,Rate per 100,W01000087,Llanrug,Police recorded public order offences per at-risk population,
0.43,Rate per 100,W01000087,Llanrug,Police recorded criminal damage per at-risk population,
0.72,Rate per 100,W01000087,Llanrug,Police recorded violence without injury per at-risk population,
0.81,Rate per 100,W01000087,Llanrug,Police recorded stalking and harassment per at-risk population,
0.96,Rate per 100,W01000087,Llanrug,Police recorded antisocial behaviour per at-risk population,
0.31,Rate per 100,W01000087,Llanrug,Police recorded theft per at-risk population,
,Rate per 100,W01000087,Llanrug,Police recorded burglary per residential dwelling,Confidential
0.05,Rate per 100,W01000087,Llanrug,Fire incidents per at-risk population,
0.25,Rate per 100,W01000088,"Llanwnda, Rhostryfan a Rhosgadfan",Police recorded violence with injury per at-risk population,
0.27,Rate per 100,W01000088,"Llanwnda, Rhostryfan a Rhosgadfan",Police recorded public order offences per at-risk population,
0.48,Rate per 100,W01000088,"Llanwnda, Rhostryfan a Rhosgadfan",Police recorded criminal damage per at-risk population,
0.37,Rate per 100,W01000088,"Llanwnda, Rhostryfan a Rhosgadfan",Police recorded violence without injury per at-risk population,
0.77,Rate per 100,W01000088,"Llanwnda, Rhostryfan a Rhosgadfan",Police recorded stalking and harassment per at-risk population,
0.91,Rate per 100,W01000088,"Llanwnda, Rhostryfan a Rhosgadfan",Police recorded antisocial behaviour per at-risk population,
0.47,Rate per 100,W01000088,"Llanwnda, Rhostryfan a Rhosgadfan",Police recorded theft per at-risk population,
,Rate per 100,W01000088,"Llanwnda, Rhostryfan a Rhosgadfan",Police recorded burglary per residential dwelling,Confidential
0.39,Rate per 100,W01000088,"Llanwnda, Rhostryfan a Rhosgadfan",Fire incidents per at-risk population,
0.68,Rate per 100,W01000089,Llanystumdwy,Police recorded violence with injury per at-risk population,
0.57,Rate per 100,W01000089,Llanystumdwy,Police recorded public order offences per at-risk population,
0.41,Rate per 100,W01000089,Llanystumdwy,Police recorded criminal damage per at-risk population,
1.12,Rate per 100,W01000089,Llanystumdwy,Police recorded violence without injury per at-risk population,
0.84,Rate per 100,W01000089,Llanystumdwy,Police recorded stalking and harassment per at-risk population,
1.06,Rate per 100,W01000089,Llanystumdwy,Police recorded antisocial behaviour per at-risk population,
0.65,Rate per 100,W01000089,Llanystumdwy,Police recorded theft per at-risk population,
,Rate per 100,W01000089,Llanystumdwy,Police recorded burglary per residential dwelling,Confidential
0.38,Rate per 100,W01000089,Llanystumdwy,Fire incidents per at-risk population,
1.12,Rate per 100,W01000090,De Marchog,Police recorded violence with injury per at-risk population,
1.25,Rate per 100,W01000090,De Marchog,Police recorded public order offences per at-risk population,
1.41,Rate per 100,W01000090,De Marchog,Police recorded criminal damage per at-risk population,
1.57,Rate per 100,W01000090,De Marchog,Police recorded violence without injury per at-risk population,
2.32,Rate per 100,W01000090,De Marchog,Police recorded stalking and harassment per at-risk population,
2.66,Rate per 100,W01000090,De Marchog,Police recorded antisocial behaviour per at-risk population,
0.57,Rate per 100,W01000090,De Marchog,Police recorded theft per at-risk population,
,Rate per 100,W01000090,De Marchog,Police recorded burglary per residential dwelling,Confidential
0.41,Rate per 100,W01000090,De Marchog,Fire incidents per at-risk population,
2.11,Rate per 100,W01000091,Gogledd Marchog,Police recorded violence with injury per at-risk population,
1.59,Rate per 100,W01000091,Gogledd Marchog,Police recorded public order offences per at-risk population,
2.19,Rate per 100,W01000091,Gogledd Marchog,Police recorded criminal damage per at-risk population,
2.88,Rate per 100,W01000091,Gogledd Marchog,Police recorded violence without injury per at-risk population,
2.7,Rate per 100,W01000091,Gogledd Marchog,Police recorded stalking and harassment per at-risk population,
2.31,Rate per 100,W01000091,Gogledd Marchog,Police recorded antisocial behaviour per at-risk population,
1.43,Rate per 100,W01000091,Gogledd Marchog,Police recorded theft per at-risk population,
1.11,Rate per 100,W01000091,Gogledd Marchog,Police recorded burglary per residential dwelling,
0.24,Rate per 100,W01000091,Gogledd Marchog,Fire incidents per at-risk population,
0.66,Rate per 100,W01000092,Bangor Uchaf,Police recorded violence with injury per at-risk population,
0.67,Rate per 100,W01000092,Bangor Uchaf,Police recorded public order offences per at-risk population,
0.57,Rate per 100,W01000092,Bangor Uchaf,Police recorded criminal damage per at-risk population,
0.75,Rate per 100,W01000092,Bangor Uchaf,Police recorded violence without injury per at-risk population,
0.59,Rate per 100,W01000092,Bangor Uchaf,Police recorded stalking and harassment per at-risk population,
1.28,Rate per 100,W01000092,Bangor Uchaf,Police recorded antisocial behaviour per at-risk population,
0.91,Rate per 100,W01000092,Bangor Uchaf,Police recorded theft per at-risk population,
1.67,Rate per 100,W01000092,Bangor Uchaf,Police recorded burglary per residential dwelling,
0.29,Rate per 100,W01000092,Bangor Uchaf,Fire incidents per at-risk population,
0.68,Rate per 100,W01000093,Menai a Doc Fictoria Caernarfon,Police recorded violence with injury per at-risk population,
1.04,Rate per 100,W01000093,Menai a Doc Fictoria Caernarfon,Police recorded public order offences per at-risk population,
0.77,Rate per 100,W01000093,Menai a Doc Fictoria Caernarfon,Police recorded criminal damage per at-risk population,
0.85,Rate per 100,W01000093,Menai a Doc Fictoria Caernarfon,Police recorded violence without injury per at-risk population,
0.65,Rate per 100,W01000093,Menai a Doc Fictoria Caernarfon,Police recorded stalking and harassment per at-risk population,
2.48,Rate per 100,W01000093,Menai a Doc Fictoria Caernarfon,Police recorded antisocial behaviour per at-risk population,
1.38,Rate per 100,W01000093,Menai a Doc Fictoria Caernarfon,Police recorded theft per at-risk population,
0.69,Rate per 100,W01000093,Menai a Doc Fictoria Caernarfon,Police recorded burglary per residential dwelling,
0.31,Rate per 100,W01000093,Menai a Doc Fictoria Caernarfon,Fire incidents per at-risk population,
0.47,Rate per 100,W01000094,Morfa Nefyn,Police recorded violence with injury per at-risk population,
,Rate per 100,W01000094,Morfa Nefyn,Police recorded public order offences per at-risk population,Confidential
0.47,Rate per 100,W01000094,Morfa Nefyn,Police recorded criminal damage per at-risk population,
0.5,Rate per 100,W01000094,Morfa Nefyn,Police recorded violence without injury per at-risk population,
0.54,Rate per 100,W01000094,Morfa Nefyn,Police recorded stalking and harassment per at-risk population,
0.58,Rate per 100,W01000094,Morfa Nefyn,Police recorded antisocial behaviour per at-risk population,
,Rate per 100,W01000094,Morfa Nefyn,Police recorded theft per at-risk population,Confidential
,Rate per 100,W01000094,Morfa Nefyn,Police recorded burglary per residential dwelling,Confidential
0.24,Rate per 100,W01000094,Morfa Nefyn,Fire incidents per at-risk population,
0.62,Rate per 100,W01000095,Nefyn,Police recorded violence with injury per at-risk population,
0.64,Rate per 100,W01000095,Nefyn,Police recorded public order offences per at-risk population,
0.52,Rate per 100,W01000095,Nefyn,Police recorded criminal damage per at-risk population,
0.86,Rate per 100,W01000095,Nefyn,Police recorded violence without injury per at-risk population,
1.1,Rate per 100,W01000095,Nefyn,Police recorded stalking and harassment per at-risk population,
1.73,Rate per 100,W01000095,Nefyn,Police recorded antisocial behaviour per at-risk population,
0.39,Rate per 100,W01000095,Nefyn,Police recorded theft per at-risk population,
,Rate per 100,W01000095,Nefyn,Police recorded burglary per residential dwelling,Confidential
0.31,Rate per 100,W01000095,Nefyn,Fire incidents per at-risk population,
0.91,Rate per 100,W01000096,De Bethesda,Police recorded violence with injury per at-risk population,
0.81,Rate per 100,W01000096,De Bethesda,Police recorded public order offences per at-risk population,
0.98,Rate per 100,W01000096,De Bethesda,Police recorded criminal damage per at-risk population,
1.26,Rate per 100,W01000096,De Bethesda,Police recorded violence without injury per at-risk population,
1.79,Rate per 100,W01000096,De Bethesda,Police recorded stalking and harassment per at-risk population,
1.76,Rate per 100,W01000096,De Bethesda,Police recorded antisocial behaviour per at-risk population,
0.57,Rate per 100,W01000096,De Bethesda,Police recorded theft per at-risk population,
,Rate per 100,W01000096,De Bethesda,Police recorded burglary per residential dwelling,Confidential
0.08,Rate per 100,W01000096,De Bethesda,Fire incidents per at-risk population,
1.4,Rate per 100,W01000097,Gogledd Bethesda,Police recorded violence with injury per at-risk population,
1.27,Rate per 100,W01000097,Gogledd Bethesda,Police recorded public order offences per at-risk population,
1.64,Rate per 100,W01000097,Gogledd Bethesda,Police recorded criminal damage per at-risk population,
1.54,Rate per 100,W01000097,Gogledd Bethesda,Police recorded violence without injury per at-risk population,
2.09,Rate per 100,W01000097,Gogledd Bethesda,Police recorded stalking and harassment per at-risk population,
1.84,Rate per 100,W01000097,Gogledd Bethesda,Police recorded antisocial behaviour per at-risk population,
0.87,Rate per 100,W01000097,Gogledd Bethesda,Police recorded theft per at-risk population,
,Rate per 100,W01000097,Gogledd Bethesda,Police recorded burglary per residential dwelling,Confidential
0.39,Rate per 100,W01000097,Gogledd Bethesda,Fire incidents per at-risk population,
1.12,Rate per 100,W01000098,Peblig,Police recorded violence with injury per at-risk population,
0.81,Rate per 100,W01000098,Peblig,Police recorded public order offences per at-risk population,
1.39,Rate per 100,W01000098,Peblig,Police recorded criminal damage per at-risk population,
1.73,Rate per 100,W01000098,Peblig,Police recorded violence without injury per at-risk population,
1.7,Rate per 100,W01000098,Peblig,Police recorded stalking and harassment per at-risk population,
1.76,Rate per 100,W01000098,Peblig,Police recorded antisocial behaviour per at-risk population,
0.78,Rate per 100,W01000098,Peblig,Police recorded theft per at-risk population,
0.72,Rate per 100,W01000098,Peblig,Police recorded burglary per residential dwelling,
0.27,Rate per 100,W01000098,Peblig,Fire incidents per at-risk population,
0.4,Rate per 100,W01000099,Penisa'r-waun a Brynrefail,Police recorded violence with injury per at-risk population,
0.32,Rate per 100,W01000099,Penisa'r-waun a Brynrefail,Police recorded public order offences per at-risk population,
0.46,Rate per 100,W01000099,Penisa'r-waun a Brynrefail,Police recorded criminal damage per at-risk population,
0.51,Rate per 100,W01000099,Penisa'r-waun a Brynrefail,Police recorded violence without injury per at-risk population,
0.81,Rate per 100,W01000099,Penisa'r-waun a Brynrefail,Police recorded stalking and harassment per at-risk population,
0.54,Rate per 100,W01000099,Penisa'r-waun a Brynrefail,Police recorded antisocial behaviour per at-risk population,
0.49,Rate per 100,W01000099,Penisa'r-waun a Brynrefail,Police recorded theft per at-risk population,
,Rate per 100,W01000099,Penisa'r-waun a Brynrefail,Police recorded burglary per residential dwelling,Confidential
0.08,Rate per 100,W01000099,Penisa'r-waun a Brynrefail,Fire incidents per at-risk population,
,Rate per 100,W01000100,Llanfrothen,Police recorded violence with injury per at-risk population,Confidential
,Rate per 100,W01000100,Llanfrothen,Police recorded public order offences per at-risk population,Confidential
,Rate per 100,W01000100,Llanfrothen,Police recorded criminal damage per at-risk population,Confidential
0.51,Rate per 100,W01000100,Llanfrothen,Police recorded violence without injury per at-risk population,
0.67,Rate per 100,W01000100,Llanfrothen,Police recorded stalking and harassment per at-risk population,
1.21,Rate per 100,W01000100,Llanfrothen,Police recorded antisocial behaviour per at-risk population,
,Rate per 100,W01000100,Llanfrothen,Police recorded theft per at-risk population,Confidential
,Rate per 100,W01000100,Llanfrothen,Police recorded burglary per residential dwelling,Confidential
0.34,Rate per 100,W01000100,Llanfrothen,Fire incidents per at-risk population,
0.38,Rate per 100,W01000101,Penrhyndeudraeth,Police recorded violence with injury per at-risk population,
0.51,Rate per 100,W01000101,Penrhyndeudraeth,Police recorded public order offences per at-risk population,
0.55,Rate per 100,W01000101,Penrhyndeudraeth,Police recorded criminal damage per at-risk population,
0.58,Rate per 100,W01000101,Penrhyndeudraeth,Police recorded violence without injury per at-risk population,
0.93,Rate per 100,W01000101,Penrhyndeudraeth,Police recorded stalking and harassment per at-risk population,
1.79,Rate per 100,W01000101,Penrhyndeudraeth,Police recorded antisocial behaviour per at-risk population,
0.35,Rate per 100,W01000101,Penrhyndeudraeth,Police recorded theft per at-risk population,
,Rate per 100,W01000101,Penrhyndeudraeth,Police recorded burglary per residential dwelling,Confidential
0.17,Rate per 100,W01000101,Penrhyndeudraeth,Fire incidents per at-risk population,
0.5,Rate per 100,W01000102,Penrhosgarnedd,Police recorded violence with injury per at-risk population,
0.81,Rate per 100,W01000102,Penrhosgarnedd,Police recorded public order offences per at-risk population,
0.45,Rate per 100,W01000102,Penrhosgarnedd,Police recorded criminal damage per at-risk population,
1.54,Rate per 100,W01000102,Penrhosgarnedd,Police recorded violence without injury per at-risk population,
0.36,Rate per 100,W01000102,Penrhosgarnedd,Police recorded stalking and harassment per at-risk population,
0.39,Rate per 100,W01000102,Penrhosgarnedd,Police recorded antisocial behaviour per at-risk population,
0.39,Rate per 100,W01000102,Penrhosgarnedd,Police recorded theft per at-risk population,
,Rate per 100,W01000102,Penrhosgarnedd,Police recorded burglary per residential dwelling,Confidential
0.09,Rate per 100,W01000102,Penrhosgarnedd,Fire incidents per at-risk population,
0.26,Rate per 100,W01000103,"Glasinfryn, Pentir, Treborth",Police recorded violence with injury per at-risk population,
0.68,Rate per 100,W01000103,"Glasinfryn, Pentir, Treborth",Police recorded public order offences per at-risk population,
0.46,Rate per 100,W01000103,"Glasinfryn, Pentir, Treborth",Police recorded criminal damage per at-risk population,
0.47,Rate per 100,W01000103,"Glasinfryn, Pentir, Treborth",Police recorded violence without injury per at-risk population,
0.8,Rate per 100,W01000103,"Glasinfryn, Pentir, Treborth",Police recorded stalking and harassment per at-risk population,
1.2,Rate per 100,W01000103,"Glasinfryn, Pentir, Treborth",Police recorded antisocial behaviour per at-risk population,
0.45,Rate per 100,W01000103,"Glasinfryn, Pentir, Treborth",Police recorded theft per at-risk population,
0.7,Rate per 100,W01000103,"Glasinfryn, Pentir, Treborth",Police recorded burglary per residential dwelling,
0.35,Rate per 100,W01000103,"Glasinfryn, Pentir, Treborth",Fire incidents per at-risk population,
0.84,Rate per 100,W01000104,Pen-y-groes (Gwynedd),Police recorded violence with injury per at-risk population,
1.15,Rate per 100,W01000104,Pen-y-groes (Gwynedd),Police recorded public order offences per at-risk population,
1.14,Rate per 100,W01000104,Pen-y-groes (Gwynedd),Police recorded criminal damage per at-risk population,
0.99,Rate per 100,W01000104,Pen-y-groes (Gwynedd),Police recorded violence without injury per at-risk population,
1.47,Rate per 100,W01000104,Pen-y-groes (Gwynedd),Police recorded stalking and harassment per at-risk population,
4.45,Rate per 100,W01000104,Pen-y-groes (Gwynedd),Police recorded antisocial behaviour per at-risk population,
0.54,Rate per 100,W01000104,Pen-y-groes (Gwynedd),Police recorded theft per at-risk population,
0.49,Rate per 100,W01000104,Pen-y-groes (Gwynedd),Police recorded burglary per residential dwelling,
0.4,Rate per 100,W01000104,Pen-y-groes (Gwynedd),Fire incidents per at-risk population,
0.76,Rate per 100,W01000105,Dwyrain Porthmadog,Police recorded violence with injury per at-risk population,
0.86,Rate per 100,W01000105,Dwyrain Porthmadog,Police recorded public order offences per at-risk population,
0.84,Rate per 100,W01000105,Dwyrain Porthmadog,Police recorded criminal damage per at-risk population,
1.19,Rate per 100,W01000105,Dwyrain Porthmadog,Police recorded violence without injury per at-risk population,
0.92,Rate per 100,W01000105,Dwyrain Porthmadog,Police recorded stalking and harassment per at-risk population,
1.78,Rate per 100,W01000105,Dwyrain Porthmadog,Police recorded antisocial behaviour per at-risk population,
0.57,Rate per 100,W01000105,Dwyrain Porthmadog,Police recorded theft per at-risk population,
,Rate per 100,W01000105,Dwyrain Porthmadog,Police recorded burglary per residential dwelling,Confidential
0.14,Rate per 100,W01000105,Dwyrain Porthmadog,Fire incidents per at-risk population,
0.67,Rate per 100,W01000106,Gorllewin Porthmadog,Police recorded violence with injury per at-risk population,
0.79,Rate per 100,W01000106,Gorllewin Porthmadog,Police recorded public order offences per at-risk population,
0.57,Rate per 100,W01000106,Gorllewin Porthmadog,Police recorded criminal damage per at-risk population,
0.99,Rate per 100,W01000106,Gorllewin Porthmadog,Police recorded violence without injury per at-risk population,
0.55,Rate per 100,W01000106,Gorllewin Porthmadog,Police recorded stalking and harassment per at-risk population,
1.45,Rate per 100,W01000106,Gorllewin Porthmadog,Police recorded antisocial behaviour per at-risk population,
0.72,Rate per 100,W01000106,Gorllewin Porthmadog,Police recorded theft per at-risk population,
0.36,Rate per 100,W01000106,Gorllewin Porthmadog,Police recorded burglary per residential dwelling,
0.33,Rate per 100,W01000106,Gorllewin Porthmadog,Fire incidents per at-risk population,
0.76,Rate per 100,W01000107,"Beddgelert, Tremadog",Police recorded violence with injury per at-risk population,
0.48,Rate per 100,W01000107,"Beddgelert, Tremadog",Police recorded public order offences per at-risk population,
0.68,Rate per 100,W01000107,"Beddgelert, Tremadog",Police recorded criminal damage per at-risk population,
0.9,Rate per 100,W01000107,"Beddgelert, Tremadog",Police recorded violence without injury per at-risk population,
0.86,Rate per 100,W01000107,"Beddgelert, Tremadog",Police recorded stalking and harassment per at-risk population,
1.32,Rate per 100,W01000107,"Beddgelert, Tremadog",Police recorded antisocial behaviour per at-risk population,
0.74,Rate per 100,W01000107,"Beddgelert, Tremadog",Police recorded theft per at-risk population,
,Rate per 100,W01000107,"Beddgelert, Tremadog",Police recorded burglary per residential dwelling,Confidential
1.19,Rate per 100,W01000107,"Beddgelert, Tremadog",Fire incidents per at-risk population,
1.2,Rate per 100,W01000108,Gogledd Pwllheli,Police recorded violence with injury per at-risk population,
1.61,Rate per 100,W01000108,Gogledd Pwllheli,Police recorded public order offences per at-risk population,
1.19,Rate per 100,W01000108,Gogledd Pwllheli,Police recorded criminal damage per at-risk population,
1.77,Rate per 100,W01000108,Gogledd Pwllheli,Police recorded violence without injury per at-risk population,
1.44,Rate per 100,W01000108,Gogledd Pwllheli,Police recorded stalking and harassment per at-risk population,
3.25,Rate per 100,W01000108,Gogledd Pwllheli,Police recorded antisocial behaviour per at-risk population,
0.91,Rate per 100,W01000108,Gogledd Pwllheli,Police recorded theft per at-risk population,
0.49,Rate per 100,W01000108,Gogledd Pwllheli,Police recorded burglary per residential dwelling,
0.39,Rate per 100,W01000108,Gogledd Pwllheli,Fire incidents per at-risk population,
0.72,Rate per 100,W01000109,De Pwllheli,Police recorded violence with injury per at-risk population,
0.91,Rate per 100,W01000109,De Pwllheli,Police recorded public order offences per at-risk population,
0.75,Rate per 100,W01000109,De Pwllheli,Police recorded criminal damage per at-risk population,
1.16,Rate per 100,W01000109,De Pwllheli,Police recorded violence without injury per at-risk population,
1.48,Rate per 100,W01000109,De Pwllheli,Police recorded stalking and harassment per at-risk population,
2.36,Rate per 100,W01000109,De Pwllheli,Police recorded antisocial behaviour per at-risk population,
0.52,Rate per 100,W01000109,De Pwllheli,Police recorded theft per at-risk population,
,Rate per 100,W01000109,De Pwllheli,Police recorded burglary per residential dwelling,Confidential
0.29,Rate per 100,W01000109,De Pwllheli,Fire incidents per at-risk population,
0.33,Rate per 100,W01000110,Hendre (Caernarfon),Police recorded violence with injury per at-risk population,
0.48,Rate per 100,W01000110,Hendre (Caernarfon),Police recorded public order offences per at-risk population,
0.49,Rate per 100,W01000110,Hendre (Caernarfon),Police recorded criminal damage per at-risk population,
0.7,Rate per 100,W01000110,Hendre (Caernarfon),Police recorded violence without injury per at-risk population,
1.25,Rate per 100,W01000110,Hendre (Caernarfon),Police recorded stalking and harassment per at-risk population,
1.78,Rate per 100,W01000110,Hendre (Caernarfon),Police recorded antisocial behaviour per at-risk population,
0.37,Rate per 100,W01000110,Hendre (Caernarfon),Police recorded theft per at-risk population,
,Rate per 100,W01000110,Hendre (Caernarfon),Police recorded burglary per residential dwelling,Confidential
0.06,Rate per 100,W01000110,Hendre (Caernarfon),Fire incidents per at-risk population,
1.74,Rate per 100,W01000111,Seiont,Police recorded violence with injury per at-risk population,
